Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,3,268,"1,87 %",3
Tarapacá,5,169,"1,18 %",1
Antofagasta,24,481,"3,35 %",4
Atacama,0,35,"0,24 %",0
Coquimbo,0,74,"0,52 %",0
Valparaíso,8,493,"3,43 %",10
Metropolitana,442,8300,"57,78 %",100
O’Higgins,3,97,"0,68 %",1
Maule,21,384,"2,67 %",12
Ñuble,6,747,"5,20 %",14
Biobío,3,709,"4,94 %",7
Araucanía,15,1251,"8,71 %",32
Los Ríos,0,180,"1,25 %",4
Los Lagos,0,477,"3,32 %",9
Aysén,0,7,"0,05 %",0
Magallanes,22,693,"4,82 %",10
