Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,6,245,"1,91 %",3
Tarapacá,9,143,"1,11 %",1
Antofagasta,25,391,"3,04 %",3
Atacama,3,24,"0,19 %",0
Coquimbo,1,73,"0,57 %",0
Valparaíso,18,454,"3,53 %",9
Metropolitana,404,7165,"55,72 %",89
O’Higgins,4,85,"0,66 %",1
Maule,1,350,"2,72 %",10
Ñuble,10,725,"5,64 %",14
Biobío,13,696,"5,41 %",5
Araucanía,19,1203,"9,36 %",27
Los Ríos,3,177,"1,38 %",3
Los Lagos,5,465,"3,62 %",8
Aysén,0,7,"0,05 %",0
Magallanes,31,655,"5,09 %",8
