Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,12,87,"1,34 %",0
Tarapacá,6,35,"0,54 %",0
Antofagasta,18,110,"1,69 %",1
Atacama,3,13,"0, 20 %",0
Coquimbo,0,61,"0,94 %",0
Valparaíso,11,241,"3,71 %",2
Metropolitana,361,3193,"49,12 %",29
O’Higgins,0,44,"0,68 %",0
Maule,3,131,"2,02 %",2
Ñuble,18,589,"9,06 %",6
Biobío,14,474,"7,29 %",2
Araucanía,23,712,"10,95 %",16
Los Ríos,6,124,"1,91 %",2
Los Lagos,9,349,"5,37 %",2
Aysén,0,7,"0,11 %",0
Magallanes,45,331,"5,09 %",3
