Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Fallecidos totales***,Casos activos confirmado
Arica y Parinacota,1.611,63.0,61.0,2,0,20.0,381.0
Tarapacá,5.771,59.0,43.0,15,1,88.0,793.0
Antofagasta,8.027000000000001,285.0,249.0,20,16,142.0,1.633
Atacama,925.0,38.0,25.0,13,0,2.0,294.0
Coquimbo,2.781,75.0,64.0,4,7,23.0,664.0
Valparaíso,11.054,257.0,211.0,20,26,217.0,2.14
Metropolitana,211.81900000000002,2.957,2.295,239,423,4.584,21.983
O’Higgins,5.322,186.0,152.0,22,12,68.0,1.9969999999999999
Maule,5.182,169.0,142.0,25,2,41.0,1.37
Ñuble,2.3169999999999997,43.0,29.0,12,2,31.0,380.0
Biobío,6.138999999999999,181.0,150.0,23,8,46.0,1.953
Araucanía,3.128,23.0,17.0,6,0,40.0,244.0
Los Ríos,659.0,7.0,7.0,0,0,10.0,84.0
Los Lagos,1.5730000000000002,32.0,23.0,7,2,20.0,284.0
Aysén,35.0,5.0,4.0,1,0,0.0,9.0
Magallanes,1.423,26.0,9.0,17,0,15.0,155.0
Total,267.76599999999996,4.406000000000001,3.4810000000000003,426,499,5.347,34.364000000000004
