Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Casos activos confirmados,Fallecidos totales***,Casos confirmados recuperados ****
Arica y Parinacota,2179,60,59,1,0,482,24,1673
Tarapacá,6789,84,56,27,1,771,105,5937
Antofagasta,10825,231,193,21,17,1774,197,8782
Atacama,1357,34,24,9,1,325,7,1015
Coquimbo,3688,67,53,7,7,693,27,2967
Valparaíso,13598,165,140,19,6,1762,303,11387
Metropolitana,232158,987,758,119,110,13703,5533,213021
O’Higgins,7567,99,90,6,3,1617,104,5913
Maule,6581,86,77,9,0,1119,78,5363
Ñuble,2700,60,41,13,6,352,35,2300
Biobío,7816,103,77,16,10,1388,65,6386
Araucanía,3482,10,8,2,0,275,46,3147
Los Ríos,740,5,3,2,0,56,11,674
Los Lagos,2047,69,57,12,0,406,21,1613
Aysén,49,1,0,1,0,11,0,38
Magallanes,1507,3,2,1,0,72,17,1416
Desconocida,0,0,0,0,0,1,0,71
Total,303083,2064,1638,265,161,24807,6573,271703
