Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Fallecidos totales***,Casos activos confirmado
Arica y Parinacota,1.443,23.0,23.0,0,0,12.0,359.0
Tarapacá,5.442,87.0,65.0,18,4,80.0,927.0
Antofagasta,6.9910000000000005,283.0,227.0,27,29,100.0,1.659
Atacama,747.0,29.0,13.0,15,1,2.0,251.0
Coquimbo,2.485,57.0,46.0,4,7,17.0,674.0
Valparaíso,9.901,286.0,245.0,12,29,170.0,1.9480000000000002
Metropolitana,200.861,2.469,1.994,178,297,3.895,23.866999999999997
O’Higgins,4.361000000000001,175.0,148.0,18,9,52.0,1.649
Maule,4.504,149.0,121.0,27,1,33.0,1.249
Ñuble,2.195,14.0,14.0,0,0,28.0,408.0
Biobío,5.327999999999999,170.0,130.0,27,13,35.0,1.82
Araucanía,3.0269999999999997,18.0,16.0,2,0,39.0,302.0
Los Ríos,625.0,4.0,4.0,0,0,10.0,117.0
Los Lagos,1.466,29.0,26.0,3,0,17.0,285.0
Aysén,28.0,0.0,0.0,0,0,0.0,5.0
Magallanes,1.3630000000000002,11.0,6.0,5,0,15.0,172.0
Total,250.767,3.804,3.0780000000000003,336,390,4.505,35.692
