Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Fallecidos totales***,Casos activos confirmado
Arica y Parinacota,1.5490000000000002,38.0,37.0,0,0,19.0,351.0
Tarapacá,5.712000000000001,135.0,111.0,19,5,85.0,839.0
Antofagasta,7.742000000000001,227.0,197.0,24,6,128.0,1.6580000000000001
Atacama,887.0,50.0,43.0,7,0,2.0,298.0
Coquimbo,2.705,68.0,43.0,6,20,23.0,660.0
Valparaíso,10.797,315.0,269.0,13,33,204.0,2.1519999999999997
Metropolitana,208.862,2.616,2.0580000000000003,217,341,4.342,22.427
O’Higgins,5.136,268.0,209.0,28,31,65.0,1.994
Maule,5.013,181.0,154.0,22,5,39.0,1.3359999999999999
Ñuble,2.274,41.0,33.0,7,1,31.0,375.0
Biobío,5.957999999999999,256.0,189.0,50,17,45.0,1.963
Araucanía,3.105,41.0,37.0,4,0,40.0,259.0
Los Ríos,652.0,11.0,6.0,5,0,10.0,95.0
Los Lagos,1.541,36.0,31.0,3,2,20.0,279.0
Aysén,30.0,1.0,0.0,1,0,0.0,3.0
Magallanes,1.3969999999999998,12.0,5.0,7,0,15.0,172.0
Total,263.36,4.296,3.4219999999999997,413,461,5.0680000000000005,34.861
