Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Casos activos confirmado,Fallecidos totales,Casos confirmados recuperados
Arica y Parinacota,1.685,36.0,31.0,5,0,365.0,20.0,1.2990000000000002
Tarapacá,5.974,81.0,61.0,15,5,819.0,91.0,5.0680000000000005
Antofagasta,8.625,317.0,253.0,38,26,1.774,147.0,6.6160000000000005
Atacama,1.006,50.0,32.0,17,1,313.0,2.0,689.0
Coquimbo,2.9610000000000003,104.0,67.0,17,20,692.0,23.0,2.263
Valparaíso,11.540999999999999,234.0,193.0,16,25,2.089,229.0,9.085
Metropolitana,216.896,2.508,1.913,226,369,21.476,4.777,190.688
O’Higgins,5.843999999999999,238.0,201.0,25,12,2.106,69.0,3.716
Maule,5.462999999999999,141.0,103.0,24,14,1.3869999999999998,48.0,4.005
Ñuble,2.384,21.0,20.0,1,0,368.0,32.0,1.97
Biobío,6.595,197.0,152.0,27,18,2.043,50.0,4.523
Araucanía,3.2119999999999997,40.0,30.0,10,0,278.0,41.0,2.88
Los Ríos,689.0,11.0,8.0,3,0,95.0,10.0,585.0
Los Lagos,1.642,33.0,22.0,8,3,301.0,21.0,1.311
Aysén,42.0,1.0,1.0,0,0,14.0,0.0,28.0
Magallanes,1.44,5.0,5.0,0,0,132.0,15.0,1.29
Desconocida,0.0,0.0,0.0,0,0,18.0,0.0,138.0
Total,275.999,4.0169999999999995,3.092,432,493,34.27,5.575,236.15400000000002
