Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Fallecidos totales***,Casos activos confirmado
Arica y Parinacota,1.511,38.0,29.0,9,0,16.0,344.0
Tarapacá,5.577000000000001,73.0,58.0,11,4,85.0,822.0
Antofagasta,7.515,288.0,237.0,41,10,122.0,1.7080000000000002
Atacama,837.0,52.0,28.0,21,3,2.0,285.0
Coquimbo,2.637,98.0,56.0,29,13,22.0,636.0
Valparaíso,10.482000000000001,295.0,257.0,14,24,195.0,2.072
Metropolitana,206.24599999999998,3.035,2.4730000000000003,202,360,4.206,22.743000000000002
O’Higgins,4.868,258.0,234.0,9,15,63.0,1.89
Maule,4.832,175.0,150.0,23,2,36.0,1.272
Ñuble,2.233,14.0,12.0,2,0,30.0,370.0
Biobío,5.702000000000001,238.0,178.0,45,15,42.0,1.871
Araucanía,3.0639999999999996,27.0,24.0,3,0,40.0,255.0
Los Ríos,641.0,12.0,12.0,0,0,10.0,105.0
Los Lagos,1.505,22.0,17.0,4,1,19.0,279.0
Aysén,29.0,1.0,1.0,0,0,0.0,3.0
Magallanes,1.385,22.0,12.0,10,0,15.0,179.0
Total,259.064,4.648,3.778,423,447,4.9030000000000005,34.834
