Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos, Total
Arica y Parinacota,1239,21,20,1,12,0.55
Tarapacá,4869,82,69,13,68,2.16
Antofagasta,5528,287,259,27,87,2.46
Atacama,586,25,18,7,0,0.26
Coquimbo,2076,96,75,20,15,0.92
Valparaíso,8473,220,202,16,143,3.76
Metropolitana,183553,3021,2788,207,3319,81.54
O’Higgins,3017,220,205,14,44,1.34
Maule,3592,206,174,32,25,1.60
Ñuble,1974,45,35,10,24,0.88
Biobío,4183,168,145,22,28,1.86
Araucanía,2864,49,40,9,37,1.27
Los Ríos,567,12,9,3,10,0.25
Los Lagos,1263,14,12,2,14,0.56
Aysén,26,0,0,0,0,0.01
Magallanes,1293,9,9,0,15,0.57
Total,225103,4475,4060,383,3841,100
