Región,Casos confirmados acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Casos nuevos sin notificar**,Fallecidos totales***,Casos activos confirmado
Arica y Parinacota,1.473,30.0,23.0,6,1,15.0,356.0
Tarapacá,5.504,62.0,51.0,11,0,84.0,862.0
Antofagasta,7.227,236.0,202.0,31,3,113.0,1.67
Atacama,785.0,38.0,30.0,6,2,2.0,259.0
Coquimbo,2.539,54.0,35.0,5,14,18.0,630.0
Valparaíso,10.187000000000001,286.0,258.0,18,10,187.0,2.005
Metropolitana,203.21099999999998,2.35,1.916,141,293,4.065,22.732
O’Higgins,4.61,249.0,213.0,10,26,59.0,1.7819999999999998
Maule,4.657,153.0,134.0,16,3,36.0,1.262
Ñuble,2.219,24.0,20.0,4,0,29.0,400.0
Biobío,5.4639999999999995,136.0,109.0,15,12,40.0,1.788
Araucanía,3.037,10.0,9.0,1,0,40.0,279.0
Los Ríos,629.0,4.0,4.0,0,0,10.0,112.0
Los Lagos,1.483,17.0,16.0,0,1,18.0,286.0
Aysén,28.0,0.0,0.0,0,0,0.0,4.0
Magallanes,1.3630000000000002,0.0,0.0,0,0,15.0,165.0
Total,254.416,3.6489999999999996,3.02,264,365,4.731,34.592
