Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,498,16,13,3,7,"0,72%"
Tarapacá,1564,93,85,8,7,"2,26%"
Antofagasta,1947,50,40,10,21,"2,82%"
Atacama,182,0,0,0,0,"0,26%"
Coquimbo,323,29,25,4,2,"0,47%"
Valparaíso,2230,114,99,15,48,"3,23%"
Metropolitana,54544,3145,2859,286,494,"78,93%"
O’Higgins,554,36,28,8,11,"0,80%"
Maule,892,69,65,4,15,"1,29%"
Ñuble,1102,25,23,2,21,"1,59%"
Biobío,1414,60,51,9,10,"2,05%"
Araucanía,1808,34,26,8,45,"2,62%"
Los Ríos,290,16,11,5,6,"0,42%"
Los Lagos,736,9,6,3,13,"1,07%"
Aysén,8,0,0,0,0,"0,01%"
Magallanes,1010,13,12,1,18,"1,46%"
