Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,315,7,7,0,4,"1,43%"
Tarapacá,322,27,14,13,1,"1,46%"
Antofagasta,811,51,41,10,7,"3,68%"
Atacama,78,8,4,4,0,"0,35%"
Coquimbo,97,6,5,1,0,"0,44%"
Valparaíso,687,31,31,0,15,"3,12%"
Metropolitana,14707,1179,1157,22,146,"66,80%"
O’Higgins,136,5,5,0,3,"0,62%"
Maule,408,9,7,2,13,"1,85%"
Ñuble,789,2,2,0,17,"3,58%"
Biobío,774,12,11,1,8,"3,52%"
Araucanía,1352,21,19,2,36,"6,14%"
Los Ríos,199,0,0,0,4,"0,90%"
Los Lagos,525,1,1,0,10,"2,38%"
Aysén,7,0,0,0,0,"0,03%"
Magallanes,809,14,13,1,11,"3,67%"
