Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,619,31,25,6,7,"0,62%"
Tarapacá,2361,111,86,25,21,"2,37%"
Antofagasta,2510,81,61,20,31,"2,52%"
Atacama,218,3,3,0,0,"0,22%"
Coquimbo,628,31,23,8,2,"0,63%"
Valparaíso,3167,130,117,13,66,"3,18%"
Metropolitana,80504,4253,3964,289,775,"80,76%"
O’Higgins,785,29,27,2,18,"0,79%"
Maule,1297,41,30,11,15,"1,30%"
Ñuble,1257,1,1,0,23,"1,26%"
Biobío,1979,91,76,15,11,"1,99%"
Araucanía,2071,11,11,0,47,"2,08%"
Los Ríos,356,11,7,4,6,"0,36%"
Los Lagos,863,3,3,0,13,"0,87%"
Aysén,17,1,1,0,0,"0,02%"
Magallanes,1056,2,2,0,19,"1,06%"
