Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,377,9,7,2,7,"0,91%"
Tarapacá,845,66,51,15,2,"2,04%"
Antofagasta,1429,98,71,27,12,"3,45%"
Atacama,146,3,3,0,0,"0,35%"
Coquimbo,187,7,0,7,2,"0,45%"
Valparaíso,1365,53,33,20,28,"3,29%"
Metropolitana,30794,1518,1319,199,246,"74,33%"
O’Higgins,329,6,6,0,5,"0,79%"
Maule,551,11,9,2,14,"1,33%"
Ñuble,921,36,14,22,20,"2,22%"
Biobío,1074,38,29,9,9,"2,59%"
Araucanía,1587,23,16,7,43,"3,83%"
Los Ríos,219,0,0,0,6,"0,53%"
Los Lagos,644,3,3,0,11,"1,55%"
Aysén,8,0,0,0,0,"0,02%"
Magallanes,952,15,12,3,16,"2,30%"
