Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,562,21,18,3,7,"0,65%"
Tarapacá,1957,146,119,27,12,"2,25%"
Antofagasta,2248,111,98,13,28,"2,59%"
Atacama,202,5,4,1,0,"0,23%"
Coquimbo,482,27,24,3,2,"0,55%"
Valparaíso,2730,154,123,31,60,"3,14%"
Metropolitana,69915,3904,3500,404,638,"80,41%"
O’Higgins,705,14,13,1,14,"0,81%"
Maule,1120,54,46,8,15,"1,29%"
Ñuble,1205,31,26,5,22,"1,39%"
Biobío,1677,112,96,16,10,"1,93%"
Araucanía,1954,38,31,7,45,"2,25%"
Los Ríos,318,9,9,0,6,"0,37%"
Los Lagos,814,23,17,6,13,"0,94%"
Aysén,14,2,2,0,0,"0,02%"
Magallanes,1040,3,2,1,18,"1,20%"
