Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,513,15,15,0,7,"0,69%"
Tarapacá,1630,66,53,13,7,"2,20%"
Antofagasta,2015,68,61,7,21,"2,72%"
Atacama,185,3,3,0,0,"0,25%"
Coquimbo,338,15,14,1,2,"0,46%"
Valparaíso,2305,75,65,10,53,"3,11%"
Metropolitana,58930,4386,4000,386,529,"79,64%"
O’Higgins,588,34,29,5,13,"0,79%"
Maule,953,61,54,7,15,"1,29%"
Ñuble,1139,37,37,0,22,"1,54%"
Biobío,1458,44,34,10,10,"1,97%"
Araucanía,1857,49,30,19,45,"2,51%"
Los Ríos,297,7,6,1,6,"0,40%"
Los Lagos,763,27,20,7,13,"1,03%"
Aysén,10,2,2,0,0,"0,01%"
Magallanes,1016,6,5,1,18,"1,37%"
