Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,351,0,0,0,7,"1,11%"
Tarapacá,578,31,23,8,1,"1,82%"
Antofagasta,1109,95,89,6,10,"3,50%"
Atacama,134,1,1,0,0,"0,42%"
Coquimbo,148,8,4,4,1,"0,47%"
Valparaíso,1029,59,54,5,23,"3,24%"
Metropolitana,22709,1392,1260,132,178,"71,59%"
O’Higgins,224,8,7,1,4,"0,71%"
Maule,466,12,8,4,14,"1,47%"
Ñuble,826,12,12,0,19,"2,60%"
Biobío,942,10,0,10,9,"2,97%"
Araucanía,1482,16,14,2,39,"4,67%"
Los Ríos,211,3,3,0,5,"0,67%"
Los Lagos,594,2,2,0,11,"1,87%"
Aysén,8,0,0,0,0,"0,03%"
Magallanes,910,9,2,7,14,"2,87%"
