Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,308,0,0,0,4,"1,49%"
Tarapacá,295,23,16,7,1,"1,43%"
Antofagasta,760,20,14,6,7,"3,68%"
Atacama,70,3,2,1,0,"0,34%"
Coquimbo,91,3,1,2,0,"0,44%"
Valparaíso,656,18,18,0,13,"3,18%"
Metropolitana,13528,872,790,82,143,"65,53%"
O’Higgins,131,6,6,0,3,"0,63%"
Maule,399,2,2,0,13,"1,93%"
Ñuble,787,1,0,1,17,"3,81%"
Biobío,762,3,3,0,8,"3,69%"
Araucanía,1331,3,1,2,36,"6,45%"
Los Ríos,199,1,1,0,4,"0,96%"
Los Lagos,524,7,5,2,10,"2,54%"
Aysén,7,0,0,0,0,"0,03%"
Magallanes,795,18,17,1,11,"3,85%"
