Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,10,180,"1,59 %",2
Tarapacá,10,114,"1,01 %",0
Antofagasta,35,326,"2,89 %",2
Atacama,0,13,"0,12 %",0
Coquimbo,1,70,"0,62 %",0
Valparaíso,18,421,"3,73 %",7
Metropolitana,295,6083,"53,85 %",78
O’Higgins,2,59,"0,52 %",1
Maule,12,328,"2,90 %",10
Ñuble,9,703,"6,22 %",13
Biobío,22,658,"5,83 %",5
Araucanía,21,1113,"9,85 %",26
Los Ríos,4,171,"1,51 %",3
Los Lagos,13,445,"3,94 %",6
Aysén,0,7,"0,06 %",0
Magallanes,12,605,"5,36 %",7
