Región,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos,% Total
Arica y Parinacota,307,10,4,6,4,"1,67%"
Tarapacá,212,12,11,1,1,"1,15%"
Antofagasta,679,90,80,10,7,"3,68%"
Atacama,59,16,13,3,0,"0,32%"
Coquimbo,78,1,1,0,0,"0,42%"
Valparaíso,614,46,42,4,13,"3,33%"
Metropolitana,11661,1145,998,147,122,"63,25%"
O’Higgins,120,11,10,1,3,"0,65%"
Maule,396,2,2,0,13,"2,15%"
Ñuble,776,8,4,4,16,"4,21%"
Biobío,751,22,19,3,7,"4,07%"
Araucanía,1314,19,19,0,36,"7,13%"
Los Ríos,196,7,7,0,4,"1,06%"
Los Lagos,513,12,11,1,10,"2,78%"
Aysén,7,0,0,0,0,"0,04%"
Magallanes,752,26,25,1,11,"4,08%"
