Región,Casos nuevos,Casos totales,% Casos totales**,Fallecidos
Arica y Parinacota,29,239,"1,94 %",3
Tarapacá,6,134,"1,09 %",0
Antofagasta,26,366,"2,97 %",2
Atacama,3,21,"0,17 %",0
Coquimbo,2,72,"0,59 %",0
Valparaíso,7,436,"3,54 %",8
Metropolitana,327,6761,"54,94 %",86
O’Higgins,5,81,"0,66 %",1
Maule,16,349,"2,84 %",10
Ñuble,7,715,"5,81 %",14
Biobío,8,683,"5,55 %",5
Araucanía,42,1184,"9,62 %",26
Los Ríos,1,174,"1,41 %",3
Los Lagos,6,460,"3,74 %",8
Aysén,0,7,"0,06 %",0
Magallanes,9,624,"5,07 %",8
